연번,시설명,군구,소재지,지정년도,lat,lng
157,중앙시장(A동),강화군,강화읍 강화대로 429,2014,37.7469325933859,126.483914636282
158,양갑주유소,강화군,교동면 교동서로 274,2014,37.773265155471,126.250400008048
159,온수주유소,강화군,길상면 초지로 568,2017,37.6284605551786,126.490536835123
160,서강화농협주유소,강화군,교동면 교동동로 480,2017,37.785578947653,126.283259408776
161,두운주유소,강화군,불은면 강화동로 508,2014,37.6815681267859,126.48237828972
162,강화남부농협주유소,강화군,길상면 길상로 302,2014,37.6378664800775,126.493676091343
163,㈜하은상사,강화군,길상면 해안동로 75,2014,37.6338152756423,126.530958209881
164,세광주유소,강화군,선원면 중앙로 205,2014,37.7264284809557,126.486399321198
165,해명주유소,강화군,삼산면 삼산남로 536,2014,37.6702293537928,126.342232075117
166,백마외포리주유소,강화군,내가면 중앙로 1301,2014,37.7018248275699,126.380435750567
167,서문안주유소,강화군,불은면 중앙로 665,2014,37.70533027097,126.443746798508
168,금광주유소,강화군,길상면 까치골길 1,2014,37.6664545580008,126.491790227267
169,삼산주유소,강화군,삼산면 삼산북로 462,2014,37.7044371649695,126.32215425764
170,고려산주유소,강화군,송해면 강화대로 687,2014,37.7617682123549,126.465737942592
171,(주)유성주유소,강화군,하점면 강화대로 1114,2014,37.7727959540698,126.423005046646
172,하점주유소,강화군,하점면 강화대로 909,2014,37.7689447428456,126.444320682649
173,양도주유소,강화군,양도면 강화남로 725,2014,37.6639103095738,126.420379045851
174,가나안주유소,강화군,화도면 해안남로 2351,2014,37.6133632436248,126.382724237951
175,화도주유소,강화군,화도면 가능포로 37,2014,37.6362402745131,126.418394905328
176,길상주유소,강화군,길상면 길상로 348,2014,37.6419425371932,126.492030342966
177,대동주유소,강화군,불은면 강화동로 176,2014,37.6551122187121,126.493424719608
178,KH에너지㈜ 직영삼성주유소,강화군,불은면 중앙로 638,2014,37.7068502786153,126.445638887746
179,한국주유소,강화군,선원면 중앙로 445,2014,37.7137960226985,126.465231315984
180,선원부광주유소,강화군,선원면 강화동로 899,2014,37.7123950861744,126.482835990645
181,경기주유소,강화군,선원면 중앙로 233,2014,37.725330919961,126.483489702837
182,아름주유소,강화군,선원면 중앙로 150,2014,37.7300812128077,126.489085815982
183,강화주유소,강화군,강화읍 강화대로 390,2014,37.7455484025592,126.48784897958
