연번,시설명,군구,소재지,지정년도
162,강화남부농협주유소,강화군,길상면 길상로 302,2014
163,㈜하은상사,강화군,길상면 해안동로 75,2014
164,세광주유소,강화군,선원면 중앙로 205,2014
165,해명주유소,강화군,삼산면 삼산남로 536,2014
166,백마외포리주유소,강화군,내가면 중앙로 1301,2014
167,서문안주유소,강화군,불은면 중앙로 665,2014
168,금광주유소,강화군,길상면 까치골길 1,2014
169,삼산주유소,강화군,삼산면 삼산북로 462,2014
170,고려산주유소,강화군,송해면 강화대로 687,2014
171,(주)유성주유소,강화군,하점면 강화대로 1114,2014
172,하점주유소,강화군,하점면 강화대로 909,2014
173,양도주유소,강화군,양도면 강화남로 725,2014
174,가나안주유소,강화군,화도면 해안남로 2351,2014
175,화도주유소,강화군,화도면 가능포로 37,2014
176,길상주유소,강화군,길상면 길상로 348,2014
177,대동주유소,강화군,불은면 강화동로 176,2014
178,KH에너지㈜ 직영삼성주유소,강화군,불은면 중앙로 638,2014
179,한국주유소,강화군,선원면 중앙로 445,2014
180,선원부광주유소,강화군,선원면 강화동로 899,2014
181,경기주유소,강화군,선원면 중앙로 233,2014
182,아름주유소,강화군,선원면 중앙로 150,2014
183,강화주유소,강화군,강화읍 강화대로 390,2014
